Ref ID,Reference,Propellant type,Test #,Mass (kg),Fireball or Plume Distance (m),Measurement Distance (m),Burn time (sec),Peak flux (cal/cm^2/s),Av. flux (cal/cm^2/s),Hazard: Source,Event Type,Drum diameter (cm),Configuration,Notes
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,8,49.9,,5,27,0.396,0.191,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,8,49.9,,4,27,0.35,0.185,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,8,49.9,,3.2,27,0.45,0.285,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,8,49.9,,2.5,27,0.6,0.359,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,9,47.6,,6.4,12,0.66,0.316,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,9,47.6,,5,12,1.008,0.481,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,9,47.6,,4,12,1.2,0.58,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,9,47.6,,3.2,12,1.4,0.71,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,,8,17,0.168,0.099,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,,6.4,17,0.24,0.146,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,,5,17,0.336,0.218,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,,4,17,0.45,0.287,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,,3.2,17,0.55,0.339,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,,2.5,17,0.6,0.435,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,,8,15,0.42,0.197,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,,6.4,15,0.528,0.261,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,,5,15,1.716,0.875,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,,4,15,1.1,0.584,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,,3.2,15,2.25,1.242,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,,2.5,15,2,1.226,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,,8,9,0.51,0.203,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,,6.4,9,0.732,0.29,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,,5,9,1.308,0.569,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,,4,9,1.4,0.581,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,,3.2,9,1.8,0.746,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,,2.5,9,2.4,0.954,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,,6.4,31.2,0.228,0.154,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,,5,31.2,0.78,0.501,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,,4,31.2,0.65,0.437,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,,3.2,31.2,1.4,0.918,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,,2.5,31.2,1.6,1.032,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,,8,8,0.444,0.145,Heat Flux: Test Data,Unconfined,,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,,6.4,8,0.648,0.183,Heat Flux: Test Data,Unconfined,,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,,5,8,2.136,0.617,Heat Flux: Test Data,Unconfined,,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,,4,8,1.6,0.483,Heat Flux: Test Data,Unconfined,,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,,3.2,8,4,0.95,Heat Flux: Test Data,Unconfined,,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,,2.5,8,5.8,1.393,Heat Flux: Test Data,Unconfined,,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,,8,15,0.498,0.236,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,,6.4,15,0.648,0.316,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,,5,15,0.984,0.425,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,,4,15,0.8,0.474,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,,3.2,15,1.25,0.635,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,,2.5,15,1.5,0.9,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,16,47.6,,16,13,0.156,0.08,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,16,47.6,,10,13,0.325,0.186,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,16,47.6,,8,13,0.475,0.265,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,16,47.6,,6.4,13,0.5,0.287,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,,20,12,0.099,0.048,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,,16,12,0.132,0.065,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,,12.8,12,0.192,0.096,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,,10,12,0.288,0.148,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,,8,12,0.463,0.196,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,,6.4,12,0.5,0.265,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,,20,25,0.027,0.015,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,,16,25,0.039,0.023,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,,12.8,25,0.06,0.032,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,,10,25,0.113,0.07,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,,8,25,0.15,0.085,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,,20,19,0.038,0.018,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,,16,19,0.057,0.029,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,,12.8,19,0.081,0.041,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,,10,19,0.15,0.08,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,,8,19,0.213,0.108,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,,6.4,19,0.275,0.141,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,,20,15,0.083,0.044,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,,16,15,0.117,0.063,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,,12.8,15,0.159,0.089,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,,10,15,0.3,0.154,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,,8,15,0.263,0.16,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,,6.4,15,0.375,0.206,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,,20,15,0.08,0.043,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,,16,15,0.114,0.062,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,,12.8,15,0.153,0.087,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,,10,15,0.3,0.165,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,,8,15,0.313,0.188,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,,6.4,15,0.4,0.247,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,22,90.7,,20,35,0.033,0.021,Heat Flux: Test Data,Unconfined,60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,22,90.7,,16,35,0.051,0.032,Heat Flux: Test Data,Unconfined,60,,Barrel
