Ref ID,Reference,Propellant type,Test #,Mass (kg),Measurement Distance (m),Burn time (sec),Peak flux (cal/cm^2/s),Av. flux (cal/cm^2/s),Notes,Drum diameter (cm),Type
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,6,47.6,8,20,0.6,0.274,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,6,47.6,6.4,20,0.552,0.257,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,6,47.6,4,20,0.8,0.432,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,6,47.6,3.2,20,1.6,0.888,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,6,47.6,2.5,20,1.8,0.9,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,7,45.4,8,23,0.138,0.081,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,7,45.4,6.4,23,0.192,0.106,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,7,45.4,5,23,0.288,0.17,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,7,45.4,4,23,0.35,0.191,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,7,45.4,3.2,23,0.45,0.283,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,7,45.4,2.5,23,0.7,0.448,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,8,49.9,6.4,27,0.288,0.143,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,8,49.9,5,27,0.396,0.191,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,8,49.9,4,27,0.35,0.185,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,8,49.9,3.2,27,0.45,0.285,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,8,49.9,2.5,27,0.6,0.359,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,9,47.6,6.4,12,0.66,0.316,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,9,47.6,5,12,1.008,0.481,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,9,47.6,4,12,1.2,0.58,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,9,47.6,3.2,12,1.4,0.71,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,8,17,0.168,0.099,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,6.4,17,0.24,0.146,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,5,17,0.336,0.218,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,4,17,0.45,0.287,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,3.2,17,0.55,0.339,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,10,45.4,2.5,17,0.6,0.435,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,8,15,0.42,0.197,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,6.4,15,0.528,0.261,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,5,15,1.716,0.875,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,4,15,1.1,0.584,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,3.2,15,2.25,1.242,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,11,49.9,2.5,15,2,1.226,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,8,9,0.51,0.203,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,6.4,9,0.732,0.29,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,5,9,1.308,0.569,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,4,9,1.4,0.581,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,3.2,9,1.8,0.746,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,12,47.6,2.5,9,2.4,0.954,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,6.4,31.2,0.228,0.154,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,5,31.2,0.78,0.501,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,4,31.2,0.65,0.437,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,3.2,31.2,1.4,0.918,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,13,90.7,2.5,31.2,1.6,1.032,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,8,8,0.444,0.145,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,6.4,8,0.648,0.183,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,5,8,2.136,0.617,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,4,8,1.6,0.483,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,3.2,8,4,0.95,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,14,99.8,2.5,8,5.8,1.393,Packaged,,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,8,15,0.498,0.236,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,6.4,15,0.648,0.316,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,5,15,0.984,0.425,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,4,15,0.8,0.474,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,3.2,15,1.25,0.635,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,15,49.9,2.5,15,1.5,0.9,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,16,47.6,16,13,0.156,0.08,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,16,47.6,10,13,0.325,0.186,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,16,47.6,8,13,0.475,0.265,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,16,47.6,6.4,13,0.5,0.287,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,20,12,0.099,0.048,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,16,12,0.132,0.065,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,12.8,12,0.192,0.096,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,10,12,0.288,0.148,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,8,12,0.463,0.196,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,17,47.6,6.4,12,0.5,0.265,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,20,25,0.027,0.015,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,16,25,0.039,0.023,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,12.8,25,0.06,0.032,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,10,25,0.113,0.07,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,18,45.4,8,25,0.15,0.085,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,20,19,0.038,0.018,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,16,19,0.057,0.029,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,12.8,19,0.081,0.041,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,10,19,0.15,0.08,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,8,19,0.213,0.108,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,19,45.4,6.4,19,0.275,0.141,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,20,15,0.083,0.044,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,16,15,0.117,0.063,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,12.8,15,0.159,0.089,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,10,15,0.3,0.154,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,8,15,0.263,0.16,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,20,49.9,6.4,15,0.375,0.206,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,20,15,0.08,0.043,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,16,15,0.114,0.062,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,12.8,15,0.153,0.087,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,10,15,0.3,0.165,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,8,15,0.313,0.188,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,21,49.9,6.4,15,0.4,0.247,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,22,90.7,20,35,0.033,0.021,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,22,90.7,16,35,0.051,0.032,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,22,90.7,12.8,35,0.075,0.049,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,22,90.7,10,35,0.15,0.101,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,22,90.7,8,35,0.188,0.122,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,22,90.7,6.4,35,0.25,0.178,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,23,90.7,20,30,0.035,0.021,Barrel,60,Unconfined Burn (Test Data)
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,23,90.7,16,30,0.051,0.032,Barrel,60,Unconfined Burn (Test Data)
